Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Status Category,Status Category Changed
User is unable to increase the product quantity,OS-12,10011,Bug,Done,OS,Online Shopping,software,Dipali,712020:f827cec2-ab15-4502-a759-92db2eb7fe92,,High,Done,d1,60387f90d3fc7c00681ddae6,Dipali,712020:f827cec2-ab15-4502-a759-92db2eb7fe92,Dipali,712020:f827cec2-ab15-4502-a759-92db2eb7fe92,12/Sep/25 2:27 AM,12/Sep/25 2:36 AM,12/Sep/25 2:27 AM,12/Sep/25 2:36 AM,ShopV5.2,15/Sep/25 12:00 AM,0,,,Dipali,712020:f827cec2-ab15-4502-a759-92db2eb7fe92,,,,,,,,,OS-3,,12/Sep/25 2:26 AM;0fc02fd5-441b-4bf5-a5ca-57afaaad929a;bug_001.PNG;https://dipali.atlassian.net/rest/api/3/attachment/content/10003,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@125373b1,,,,,,,,,,,,,,,,0|i0000b:9,,,OS Sprint 1,12/Sep/25 12:00 AM,,,,,,,,,,,10007_*:*_1_*:*_216346_*|*_3_*:*_1_*:*_0,Done,12/Sep/25 2:36 AM
Product is added to the cart but msg is not displayed.,OS-11,10010,Bug,Done,OS,Online Shopping,software,Dipali,712020:f827cec2-ab15-4502-a759-92db2eb7fe92,,High,Done,d1,60387f90d3fc7c00681ddae6,Dipali,712020:f827cec2-ab15-4502-a759-92db2eb7fe92,Dipali,712020:f827cec2-ab15-4502-a759-92db2eb7fe92,12/Sep/25 2:07 AM,12/Sep/25 2:39 AM,12/Sep/25 2:07 AM,12/Sep/25 2:36 AM,ShopV5.2,15/Sep/25 12:00 AM,0,"1. search for a product
2. click on "" Add to Cart""
",,Dipali,712020:f827cec2-ab15-4502-a759-92db2eb7fe92,,,,,,,,,OS-2,,12/Sep/25 2:06 AM;0fc02fd5-441b-4bf5-a5ca-57afaaad929a;bug_001.PNG;https://dipali.atlassian.net/rest/api/3/attachment/content/10001,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@267d300c,,,,,,,,,,,,,,,,0|i0000b:4,,,OS Sprint 1,12/Sep/25 12:00 AM,,,,,,,,,,,10007_*:*_1_*:*_1395003_*|*_3_*:*_1_*:*_0,Done,12/Sep/25 2:36 AM
Track bugs,OS-10,10009,Story,Done,OS,Online Shopping,software,Dipali,712020:f827cec2-ab15-4502-a759-92db2eb7fe92,,Medium,Done,d1,60387f90d3fc7c00681ddae6,Dipali,712020:f827cec2-ab15-4502-a759-92db2eb7fe92,Dipali,712020:f827cec2-ab15-4502-a759-92db2eb7fe92,11/Sep/25 10:35 PM,12/Sep/25 2:36 AM,,12/Sep/25 2:36 AM,,,0,,,Dipali,712020:f827cec2-ab15-4502-a759-92db2eb7fe92,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6840d8c5,,,,,,,,,,,,,,,,0|i0000b:1,,,OS Sprint 1,,,,,,,,,,,,10007_*:*_1_*:*_3748094_*|*_3_*:*_1_*:*_0,Done,12/Sep/25 2:36 AM
Test execution,OS-9,10008,Story,Done,OS,Online Shopping,software,Dipali,712020:f827cec2-ab15-4502-a759-92db2eb7fe92,,Medium,Done,d1,60387f90d3fc7c00681ddae6,Dipali,712020:f827cec2-ab15-4502-a759-92db2eb7fe92,Dipali,712020:f827cec2-ab15-4502-a759-92db2eb7fe92,11/Sep/25 10:35 PM,12/Sep/25 2:36 AM,,12/Sep/25 2:36 AM,,,0,,,Dipali,712020:f827cec2-ab15-4502-a759-92db2eb7fe92,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6ad65893,,,,,,,,,,,,,,,,0|i00005:,,,OS Sprint 1,,,,,,,,,,,,10007_*:*_1_*:*_137089_*|*_3_*:*_1_*:*_0,Done,12/Sep/25 2:36 AM
Prepare test data,OS-8,10007,Story,Done,OS,Online Shopping,software,Dipali,712020:f827cec2-ab15-4502-a759-92db2eb7fe92,,Medium,Done,a1 a1,557058:31a163ae-e3fb-4c6c-bcd7-101bdb89effe,Dipali,712020:f827cec2-ab15-4502-a759-92db2eb7fe92,Dipali,712020:f827cec2-ab15-4502-a759-92db2eb7fe92,11/Sep/25 10:34 PM,12/Sep/25 1:33 AM,11/Sep/25 11:39 PM,12/Sep/25 1:33 AM,,,0,,,Dipali,712020:f827cec2-ab15-4502-a759-92db2eb7fe92,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@767f8481,,,,,,,,,,,,,,,,0|i0000b:i,,,OS Sprint 1,,,,,,,,,,,,10008_*:*_1_*:*_389111_*|*_10007_*:*_1_*:*_178531_*|*_3_*:*_2_*:*_10130704,Done,12/Sep/25 1:33 AM
Write testcases,OS-7,10006,Story,Done,OS,Online Shopping,software,Dipali,712020:f827cec2-ab15-4502-a759-92db2eb7fe92,,Medium,Done,d1,60387f90d3fc7c00681ddae6,Dipali,712020:f827cec2-ab15-4502-a759-92db2eb7fe92,Dipali,712020:f827cec2-ab15-4502-a759-92db2eb7fe92,11/Sep/25 10:34 PM,12/Sep/25 1:25 AM,,12/Sep/25 1:25 AM,,,0,,,Dipali,712020:f827cec2-ab15-4502-a759-92db2eb7fe92,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1817ec7b,,,,,,,,,,,,,,,,0|i0000b:,,,OS Sprint 1,,,,,,,,,,,,10007_*:*_1_*:*_184013_*|*_3_*:*_1_*:*_0,Done,12/Sep/25 1:25 AM
Checkout process,OS-6,10005,Story,To Do,OS,Online Shopping,software,Dipali,712020:f827cec2-ab15-4502-a759-92db2eb7fe92,,Medium,,q1,610aac84ae72b2006f655898,Dipali,712020:f827cec2-ab15-4502-a759-92db2eb7fe92,Dipali,712020:f827cec2-ab15-4502-a759-92db2eb7fe92,11/Sep/25 10:24 PM,11/Sep/25 10:28 PM,11/Sep/25 10:24 PM,,ShopV5.2,25/Oct/25 12:00 AM,0,"As a user, I want to proceed the checkout process.",,Dipali,712020:f827cec2-ab15-4502-a759-92db2eb7fe92,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6107f087,,,,,,,,,,,,,,,,0|i00013:,,,OS Sprint 3,19/Oct/25 12:00 AM,3.0,,,,,,,,,,,To Do,11/Sep/25 10:24 PM
 Stock availability,OS-5,10004,Story,In Progress,OS,Online Shopping,software,Dipali,712020:f827cec2-ab15-4502-a759-92db2eb7fe92,,Medium,,q1,610aac84ae72b2006f655898,Dipali,712020:f827cec2-ab15-4502-a759-92db2eb7fe92,Dipali,712020:f827cec2-ab15-4502-a759-92db2eb7fe92,11/Sep/25 10:17 PM,11/Sep/25 11:38 PM,11/Sep/25 10:24 PM,,ShopV5.2,17/Oct/25 12:00 AM,0,"As a user, I want to check the availability of the stock.",,Dipali,712020:f827cec2-ab15-4502-a759-92db2eb7fe92,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@394d2ef4,,,,,,,,,,,,,,,,0|i0000v:,,,OS Sprint 3,22/Oct/25 12:00 AM,5.0,,,,,,,,,,,In Progress,11/Sep/25 11:38 PM
Cost calculation,OS-4,10003,Story,To Do,OS,Online Shopping,software,Dipali,712020:f827cec2-ab15-4502-a759-92db2eb7fe92,,Medium,,d1,60387f90d3fc7c00681ddae6,Dipali,712020:f827cec2-ab15-4502-a759-92db2eb7fe92,Dipali,712020:f827cec2-ab15-4502-a759-92db2eb7fe92,11/Sep/25 10:11 PM,11/Sep/25 10:24 PM,11/Sep/25 11:45 PM,,,15/Oct/25 12:00 AM,0,"As a user, I want to view total price, tax, apply coupons, discounts. So that I can able to buy products",,Dipali,712020:f827cec2-ab15-4502-a759-92db2eb7fe92,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1cf1cd4c,,,,,,,,,,,,,,,,0|i0000n:,,,OS Sprint 2,10/Oct/25 12:00 AM,8.0,,,,,,,,,,,To Do,11/Sep/25 10:11 PM
Modify product  quantity in the cart.(Increase/ Decrease),OS-3,10002,Story,Done,OS,Online Shopping,software,Dipali,712020:f827cec2-ab15-4502-a759-92db2eb7fe92,,Medium,Done,q1,610aac84ae72b2006f655898,Dipali,712020:f827cec2-ab15-4502-a759-92db2eb7fe92,Dipali,712020:f827cec2-ab15-4502-a759-92db2eb7fe92,11/Sep/25 9:48 PM,12/Sep/25 2:36 AM,11/Sep/25 11:46 PM,12/Sep/25 2:36 AM,ShopV5.2,03/Oct/25 12:00 AM,0,"As a user, I want to modify the products so that I can increase/decrease the product quantity.",,Dipali,712020:f827cec2-ab15-4502-a759-92db2eb7fe92,,,,,,,,,,OS-12,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3b228e9d,,,,,,,,,,,,,,,,0|i0000b:2,,,OS Sprint 1,26/Sep/25 12:00 AM,3.0,,,,,,,,,,10007_*:*_1_*:*_6607163_*|*_3_*:*_1_*:*_0,Done,12/Sep/25 2:36 AM
